il,ilce,Bölge,ilkod,ilcekod,il_ilce
BİLECİK,GÖLPAZARI,MARMARA,TUR011,TUR011003,"BİLECİK, GÖLPAZARI"
BİLECİK,İNHİSAR,MARMARA,TUR011,TUR011004,"BİLECİK, İNHİSAR"
BİLECİK,BİLECİK,MARMARA,TUR011,TUR011001,"BİLECİK, BİLECİK"
BİLECİK,OSMANELİ,MARMARA,TUR011,TUR011005,"BİLECİK, OSMANELİ"
BİLECİK,PAZARYERİ,MARMARA,TUR011,TUR011006,"BİLECİK, PAZARYERİ"
BİLECİK,SÖĞÜT,MARMARA,TUR011,TUR011007,"BİLECİK, SÖĞÜT"
BİLECİK,YENİPAZAR,MARMARA,TUR011,TUR011008,"BİLECİK, YENİPAZAR"
BİNGÖL,ADAKLI,DOĞU ANADOLU,TUR012,TUR012001,"BİNGÖL, ADAKLI"
BİNGÖL,GENÇ,DOĞU ANADOLU,TUR012,TUR012003,"BİNGÖL, GENÇ"
BİNGÖL,KARLIOVA,DOĞU ANADOLU,TUR012,TUR012004,"BİNGÖL, KARLIOVA"
BİNGÖL,KİĞI,DOĞU ANADOLU,TUR012,TUR012005,"BİNGÖL, KİĞI"
BİNGÖL,BİNGÖL,DOĞU ANADOLU,TUR012,TUR012002,"BİNGÖL, BİNGÖL"
BİNGÖL,SOLHAN,DOĞU ANADOLU,TUR012,TUR012006,"BİNGÖL, SOLHAN"
BİNGÖL,YAYLADERE,DOĞU ANADOLU,TUR012,TUR012007,"BİNGÖL, YAYLADERE"
BİNGÖL,YEDİSU,DOĞU ANADOLU,TUR012,TUR012008,"BİNGÖL, YEDİSU"
BİTLİS,ADİLCEVAZ,DOĞU ANADOLU,TUR013,TUR013001,"BİTLİS, ADİLCEVAZ"
BİTLİS,AHLAT,DOĞU ANADOLU,TUR013,TUR013002,"BİTLİS, AHLAT"
BİTLİS,GÜROYMAK,DOĞU ANADOLU,TUR013,TUR013004,"BİTLİS, GÜROYMAK"
BİTLİS,HİZAN,DOĞU ANADOLU,TUR013,TUR013005,"BİTLİS, HİZAN"
BİTLİS,BİTLİS,DOĞU ANADOLU,TUR013,TUR013003,"BİTLİS, BİTLİS"
BİTLİS,MUTKİ,DOĞU ANADOLU,TUR013,TUR013006,"BİTLİS, MUTKİ"
BİTLİS,TATVAN,DOĞU ANADOLU,TUR013,TUR013007,"BİTLİS, TATVAN"
BOLU,DÖRTDİVAN,KARADENİZ,TUR014,TUR014002,"BOLU, DÖRTDİVAN"
BOLU,GEREDE,KARADENİZ,TUR014,TUR014003,"BOLU, GEREDE"
BOLU,GÖYNÜK,KARADENİZ,TUR014,TUR014004,"BOLU, GÖYNÜK"
BOLU,KIBRISCIK,KARADENİZ,TUR014,TUR014005,"BOLU, KIBRISCIK"
BOLU,MENGEN,KARADENİZ,TUR014,TUR014006,"BOLU, MENGEN"
BOLU,BOLU,KARADENİZ,TUR014,TUR014001,"BOLU, BOLU"
BOLU,MUDURNU,KARADENİZ,TUR014,TUR014007,"BOLU, MUDURNU"
BOLU,SEBEN,KARADENİZ,TUR014,TUR014008,"BOLU, SEBEN"
BOLU,YENİÇAĞA,KARADENİZ,TUR014,TUR014009,"BOLU, YENİÇAĞA"
BURDUR,AĞLASUN,AKDENİZ,TUR015,TUR015001,"BURDUR, AĞLASUN"
BURDUR,ALTINYAYLA,AKDENİZ,TUR015,TUR015002,"BURDUR, ALTINYAYLA"
BURDUR,BUCAK,AKDENİZ,TUR015,TUR015003,"BURDUR, BUCAK"
BURDUR,ÇAVDIR,AKDENİZ,TUR015,TUR015005,"BURDUR, ÇAVDIR"
BURDUR,ÇELTİKÇİ,AKDENİZ,TUR015,TUR015006,"BURDUR, ÇELTİKÇİ"
BURDUR,GÖLHİSAR,AKDENİZ,TUR015,TUR015007,"BURDUR, GÖLHİSAR"
BURDUR,KARAMANLI,AKDENİZ,TUR015,TUR015008,"BURDUR, KARAMANLI"
BURDUR,KEMER,AKDENİZ,TUR015,TUR015009,"BURDUR, KEMER"
BURDUR,BURDUR,AKDENİZ,TUR015,TUR015004,"BURDUR, BURDUR"
BURDUR,TEFENNİ,AKDENİZ,TUR015,TUR015010,"BURDUR, TEFENNİ"
BURDUR,YEŞİLOVA,AKDENİZ,TUR015,TUR015011,"BURDUR, YEŞİLOVA"
BURSA,BÜYÜKORHAN,MARMARA,TUR016,TUR016001,"BURSA, BÜYÜKORHAN"
BURSA,GEMLİK,MARMARA,TUR016,TUR016002,"BURSA, GEMLİK"
